,,Site LCOE ($/MWh),Transmission LCOE ($/MWh),Site LCOE + Trans LCOE,,Capital Cost Transmission ($/MW),,,Net Capacity Factor,Grid Feature Connection,Resource Class,Capacity (MW),Onshore Distance,Distance from Point to Grid,Area (sq.km),,,ReEDS Demand Region
gid,line_join_gid,site_lcoe,trans_lcoe,full_lcoe,subjoin,cap_cost_trans,transmission_multiplier,region_sub_cost_mult,ncf,category,re_class,capacity,onshore_dist,dist_mi,sq_km,lat,lon,demreg
108,37644,0.10920763,10.03093044,11.12300674,-999,170236.8791,1,1,0.189860404,PCALoadCen,12,146.9664,39.83602221,39.83602221,4.5927,-676309.324,-1789017.13,452
109,33863,0.10920763,0.3883856,1.480461902,9185,6591.36785,1,1,0.189860404,Substation,13,1.5552,1.680613934,1.680613934,0.0486,-676309.324,-1789017.13,452
110,37644,0.107214138,9.054097964,10.12623934,-999,156517.3236,1,1,0.193392307,PCALoadCen,13,19.44,36.33792033,36.33792033,0.6075,-676309.324,-1783257.13,452
111,33862,0.10719841,0.828470572,1.900454669,9185,14323.64787,1,1,0.193418726,Substation,13,1.8144,3.652128474,3.652128474,0.0567,-676309.324,-1780377.13,452
112,33862,0.107913114,0.019435564,1.098566705,9185,333.8028094,1,1,0.192138687,Substation,12,0.5184,0.085110354,0.085110354,0.0162,-676309.324,-1786137.13,452
113,37644,0.107913114,9.512150724,10.59128187,-999,163369.7227,1,1,0.192138687,PCALoadCen,13,14.7744,38.08508992,38.08508992,0.4617,-676309.324,-1786137.13,452
114,9185,0.107286774,2.0529683,3.125836036,-999,35465.09073,1,1,0.193259478,TransLine,13,3.1104,5.472996107,5.472996107,0.0972,-676309.324,-1777497.13,452
115,37644,0.107349873,7.88152618,8.955024906,-999,136073.4974,1,1,0.193145767,PCALoadCen,13,51.84,31.12531805,31.12531805,1.62,-676309.324,-1774617.13,452
116,37644,0.107347444,7.489481808,8.562956245,-999,129307.8465,1,1,0.193150163,PCALoadCen,13,23.0688,29.40026683,29.40026683,0.7209,-676309.324,-1771737.13,452
117,37644,0.107893273,7.13555935,8.214492082,-999,122574.3154,1,1,0.192173466,PCALoadCen,13,36.8064,27.68340526,27.68340526,1.1502,-676309.324,-1768857.13,452
118,37644,0.107927598,6.747974666,7.827250647,-999,115879.2731,1,1,0.192111909,PCALoadCen,13,19.6992,25.97635725,25.97635725,0.6156,-676309.324,-1765977.13,452
119,33856,0.107909717,2.155822294,3.23491946,8965,37026.88333,1,1,0.192143708,Substation,13,3.3696,9.440816761,9.440816761,0.1053,-676309.324,-1763097.13,452
120,33880,0.118090354,0.914664779,2.095568318,8903,14355.30669,1,1,0.175578967,Substation,11,13.7376,3.660200583,3.660200583,0.4293,-679189.324,-1878297.13,450
121,35244,0.117989197,3.111969039,4.291861013,-999,48883.19544,1,1,0.175730154,PCALoadCen,11,34.4736,8.89423647,8.89423647,1.0773,-679189.324,-1875417.13,450
122,35244,0.115939841,2.260982914,3.420381321,-999,36144.21271,1,1,0.178839505,PCALoadCen,12,26.1792,5.646153165,5.646153165,0.8181,-679189.324,-1869657.13,450
123,8718,0.116779439,1.017129619,2.184924011,-999,16143.20557,1,1,0.177556038,TransLine,11,7.776,0.546457309,0.546457309,0.243,-679189.324,-1872537.13,450
124,35244,0.116779439,2.669019437,3.836813828,-999,42360.90329,1,1,0.177556038,PCALoadCen,12,17.1072,7.231234904,7.231234904,0.5346,-679189.324,-1872537.13,450
125,35244,0.114912212,1.895968972,3.045091091,-999,30580.50926,1,1,0.180441096,PCALoadCen,12,23.5872,4.227564829,4.227564829,0.7371,-679189.324,-1866777.13,450
126,33878,0.114354163,0.881922735,2.025464369,8709,14293.66148,1,1,0.181315497,Substation,12,15.8112,3.644482784,3.644482784,0.4941,-679189.324,-1863897.13,450
127,33878,0.115116842,0.461841351,1.613009772,8715,7435.723657,1,1,0.180116042,Substation,12,32.4,1.895900984,1.895900984,1.0125,-679189.324,-1861017.13,450
128,33878,0.115440398,0.129325846,1.283729831,8715,2076.312663,1,1,0.179609537,Substation,12,74.3904,0.529401495,0.529401495,2.3247,-679189.324,-1858137.13,450
129,33878,0.115334243,0.442764242,1.596106668,8714,7115.157971,1,1,0.179776937,Substation,12,95.3856,1.814165724,1.814165724,2.9808,-679189.324,-1855257.13,450
130,35244,0.114815794,2.472987436,3.621145375,-999,39920.21384,1,1,0.180589676,PCALoadCen,12,60.1344,6.608927546,6.608927546,1.8792,-679189.324,-1852377.13,450
